User,PID,CPU,Memory,VSZ,RSS,TTY,STAT,Start,Time,Command
atik,3851,0.0,0.0,33577208,3248,?,Sl,ফেব22,0:00,/opt/google/chrome/chrome_crashpad_handler
atik,3853,0.0,0.0,33567972,2936,?,Sl,ফেব22,0:00,/opt/google/chrome/chrome_crashpad_handler
atik,3859,0.0,0.4,33862444,58588,?,S,ফেব22,0:00,/opt/google/chrome/chrome
atik,3860,0.0,0.4,33862432,58320,?,S,ফেব22,0:00,/opt/google/chrome/chrome
atik,3861,0.0,0.0,33568372,4716,?,S,ফেব22,0:00,/opt/google/chrome/nacl_helper
atik,3864,0.0,0.1,33862456,15904,?,S,ফেব22,0:02,/opt/google/chrome/chrome
atik,3889,1.7,1.6,34138388,197824,?,Sl,ফেব22,50:47,/opt/google/chrome/chrome
atik,3891,0.3,1.1,33932564,131576,?,Sl,ফেব22,10:49,/opt/google/chrome/chrome
atik,3902,0.0,0.4,33912032,52200,?,Sl,ফেব22,0:10,/opt/google/chrome/chrome
atik,3965,0.0,0.9,1184782880,112420,?,Sl,ফেব22,0:02,/opt/google/chrome/chrome
atik,3986,0.0,0.7,1184772628,91112,?,Sl,ফেব22,0:00,/opt/google/chrome/chrome
atik,4007,0.0,1.1,1184786624,138988,?,Sl,ফেব22,0:18,/opt/google/chrome/chrome
atik,4046,0.0,0.9,1184781172,111428,?,Sl,ফেব22,0:04,/opt/google/chrome/chrome
atik,4075,0.1,0.8,1184780824,107344,?,Sl,ফেব22,2:53,/opt/google/chrome/chrome
atik,4085,0.0,0.7,1184772628,90684,?,Sl,ফেব22,0:00,/opt/google/chrome/chrome
atik,4297,0.1,0.6,34188224,78852,?,Sl,ফেব22,3:46,/opt/google/chrome/chrome
atik,63480,0.0,0.0,33585760,2384,?,Sl,00:50,0:00,/snap/code/119/usr/share/code/chrome_crashpad_handler
atik,68056,0.0,1.3,1189015136,163176,?,Sl,01:30,0:02,/opt/google/chrome/chrome
atik,69629,0.3,0.7,1184764432,94476,?,Sl,22:59,0:00,/opt/google/chrome/chrome
atik,69640,0.1,0.5,1184748036,67036,?,Sl,22:59,0:00,/opt/google/chrome/chrome
atik,69656,12.2,1.0,1185804808,123808,?,Sl,22:59,0:02,/opt/google/chrome/chrome
